SR,ROCK    ,LITTER  ,BARESOIL,SprTmax ,Time,FallPrec,Transect
8,27,30,26,15.77000046,1958,30.21999931,1
6,26,20,28,15.21000004,1962,99.55999756,1
8,30,24,30,12.76000023,1967,43.43000031,1
8,18,35,16,14,1974,54.86000061,1
10,23,22,9,14.32999992,1981,24.37999916,1
7,26,26,23,16.90999985,1994,10.15999985,1
6,39,19,19,13.85999966,2002,34.29000092,1
5,25,26,33,15.78999996,1958,30.21999931,2
8,24,24,29,15.22999954,1962,99.55999756,2
6,21,16,41,12.77999973,1967,43.43000031,2
6,18,25,33,14.01000023,1974,54.86000061,2
6,19,28,14,14.35000038,1981,24.37999916,2
6,10.5,41.5,29,16.92000008,1994,10.15999985,2
6,26,18,42,13.88000011,2002,34.29000092,2
7,56,17,16,11.78999996,1958,33.77999878,3
10,45,7,23,11.25,1962,143.5099945,3
8,28,14,37,8.909999847,1967,56.38000107,3
18,27,15,7,10.09000015,1974,68.31999969,3
12,10,37,0,10.42000008,1981,57.40000153,3
11,17,17,33,11,1989,17.52000046,3
7,26.5,14,17.5,12.96000004,1994,21.07999992,3
10,36,19,4,9.880000114,2002,29.20999908,3
8,53,10,20,11.92000008,1958,33.77999878,4
9,59,5,13,11.38000011,1962,143.5099945,4
6,45,9,30,9.039999962,1967,56.38000107,4
12,41,12,7,10.22000027,1974,68.31999969,4
13,35,24,3,10.55000019,1981,57.40000153,4
10,44,10,12,11.14000034,1989,17.52000046,4
8,53.5,18,7.5,13.09000015,1994,21.07999992,4
8,59,9,5,10.01000023,2002,29.20999908,4
13,15,23,20,11.86999989,1958,41.13999939,5
16,20,21,19,11.43999958,1962,153.4100037,5
9,4,51,13,9.25,1967,75.43000031,5
14,8,34,2,10.35999966,1974,72.63999939,5
11,5,28,1,10.68999958,1981,41.65000153,5
13,4,30,11,11.22000027,1989,9.899999619,5
11,2,32,11,13.15999985,1994,32,5
12,8,29,5,9.899999619,2002,48.50999832,5
9,5,32,30,12.02999973,1958,41.13999939,6
10,7,20,37,11.59000015,1962,153.4100037,6
14,5,29,12,9.399999619,1967,75.43000031,6
14,6,19,13,10.51000023,1974,72.63999939,6
10,3,23,9,10.84000015,1981,41.65000153,6
14,2,32,4,11.36999989,1989,9.899999619,6
9,3,22.5,16.5,13.31000042,1994,32,6
12,0,28,17,10.05000019,2002,48.50999832,6
11,20,26,27,12.81999969,1962,153.4100037,7
12,7,29,26,10.56000042,1967,75.43000031,7
14,11,23,0,11.69999981,1974,72.63999939,7
9,6,40,0,12.02999973,1981,41.65000153,7
5,0,14.5,35,14.56000042,1994,32,7
12,15,21,7,11.35000038,2002,48.50999832,7
9,25,24,20,12.93000031,1962,153.4100037,8
10,23,15,20,10.67000008,1967,75.43000031,8
16,14,15,14,11.81000042,1974,72.63999939,8
12,11,18,4,12.14999962,1981,41.65000153,8
10,8,29,27,14.67000008,1994,32,8
14,13,26,13,11.46000004,2002,48.50999832,8
