"Chick","Time","Weight","Diet"
"1",0,41,"1"
"1",2,48,"1"
"1",4,56,"1"
"1",6,68,"1"
"1",8,75,"1"
"1",10,86,"1"
"1",12,102,"1"
"1",14,107,"1"
"1",16,135,"1"
"1",18,155,"1"
"2",0,42,"1"
"2",2,43,"1"
"2",4,48,"1"
"2",6,60,"1"
"2",8,79,"1"
"2",10,107,"1"
"2",12,142,"1"
"2",14,164,"1"
"2",16,197,"1"
"2",18,199,"1"
"3",0,42,"1"
"3",2,49,"1"
"3",4,60,"1"
"3",6,74,"1"
"3",8,97,"1"
"3",10,123,"1"
"3",12,141,"1"
"3",14,147,"1"
"3",16,155,"1"
"3",18,159,"1"
"4",0,41,"1"
"4",2,47,"1"
"4",4,56,"1"
"4",6,73,"1"
"4",8,89,"1"
"4",10,113,"1"
"4",12,144,"1"
"4",14,174,"1"
"4",16,219,"1"
"4",18,249,"1"
"5",0,41,"1"
"5",2,52,"1"
"5",4,59,"1"
"5",6,70,"1"
"5",8,85,"1"
"5",10,99,"1"
"5",12,90,"1"
"5",14,93,"1"
"5",16,91,"1"
"5",18,100,"1"
"6",0,41,"1"
"6",2,45,"1"
"6",4,55,"1"
"6",6,62,"1"
"6",8,74,"1"
"6",10,81,"1"
"6",12,88,"1"
"6",14,97,"1"
"6",16,100,"1"
"6",18,110,"1"
"7",0,43,"1"
"7",2,51,"1"
"7",4,63,"1"
"7",6,85,"1"
"7",8,113,"1"
"7",10,139,"1"
"7",12,169,"1"
"7",14,176,"1"
"7",16,182,"1"
"7",18,184,"1"
"8",0,41,"1"
"8",2,50,"1"
"8",4,57,"1"
"8",6,60,"1"
"8",8,73,"1"
"8",10,87,"1"
"8",12,120,"1"
"8",14,134,"1"
"8",16,159,"1"
"8",18,186,"1"
"9",0,41,"1"
"9",2,51,"1"
"9",4,52,"1"
"9",6,60,"1"
"9",8,65,"1"
"9",10,66,"1"
"9",12,71,"1"
"9",14,70,"1"
"9",16,72,"1"
"9",18,80,"1"
"10",0,40,"2"
"10",2,49,"2"
"10",4,63,"2"
"10",6,85,"2"
"10",8,124,"2"
"10",10,163,"2"
"10",12,217,"2"
"10",14,240,"2"
"10",16,277,"2"
"10",18,308,"2"
"11",0,43,"2"
"11",2,55,"2"
"11",4,64,"2"
"11",6,77,"2"
"11",8,88,"2"
"11",10,96,"2"
"11",12,108,"2"
"11",14,110,"2"
"11",16,132,"2"
"11",18,148,"2"
"12",0,44,"2"
"12",2,54,"2"
"12",4,60,"2"
"12",6,74,"2"
"12",8,90,"2"
"12",10,105,"2"
"12",12,126,"2"
"12",14,135,"2"
"12",16,144,"2"
"12",18,163,"2"
"13",0,41,"2"
"13",2,51,"2"
"13",4,59,"2"
"13",6,73,"2"
"13",8,66,"2"
"13",10,69,"2"
"13",12,69,"2"
"13",14,70,"2"
"13",16,72,"2"
"13",18,71,"2"
"14",0,40,"2"
"14",2,49,"2"
"14",4,60,"2"
"14",6,77,"2"
"14",8,104,"2"
"14",10,125,"2"
"14",12,145,"2"
"14",14,164,"2"
"14",16,196,"2"
"14",18,231,"2"
"15",0,43,"2"
"15",2,47,"2"
"15",4,57,"2"
"15",6,76,"2"
"15",8,90,"2"
"15",10,114,"2"
"15",12,136,"2"
"15",14,146,"2"
"15",16,169,"2"
"15",18,205,"2"
"16",0,38,"2"
"16",2,48,"2"
"16",4,58,"2"
"16",6,74,"2"
"16",8,87,"2"
"16",10,101,"2"
"16",12,114,"2"
"16",14,124,"2"
"16",16,144,"2"
"16",18,163,"2"
"17",0,38,"2"
"17",2,45,"2"
"17",4,58,"2"
"17",6,72,"2"
"17",8,91,"2"
"17",10,113,"2"
"17",12,145,"2"
"17",14,155,"2"
"17",16,184,"2"
