"counts","elevation","selev"
11,201.016194280237,-0.798983805719763
13,202.428676141426,-0.797571323858574
5,202.499072393402,-0.797500927606598
9,202.792906714603,-0.797207093285397
8,203.246669424698,-0.796753330575302
7,206.237012287602,-0.793762987712398
14,207.340982276946,-0.792659017723054
6,207.626647595316,-0.792373352404684
7,210.376136470586,-0.789623863529414
6,210.554505884647,-0.789445494115353
15,213.484815880656,-0.786515184119344
10,215.012064017355,-0.784987935982645
9,220.712974807248,-0.779287025192753
11,220.75856984593,-0.77924143015407
6,221.033557457849,-0.778966442542151
8,226.699615037069,-0.773300384962931
8,227.082179347053,-0.772917820652947
11,227.387400483713,-0.772612599516287
8,227.454541623592,-0.772545458376408
8,229.091245261952,-0.770908754738048
8,229.762899735942,-0.770237100264058
5,232.501240260899,-0.767498759739101
10,235.811520367861,-0.764188479632139
7,241.786814015359,-0.758213185984641
11,242.581710545346,-0.757418289454654
10,244.503698544577,-0.755496301455423
13,244.979051779956,-0.755020948220044
12,248.337604105473,-0.751662395894527
5,253.462858777493,-0.746537141222507
8,254.01568217203,-0.74598431782797
6,255.83981522359,-0.74416018477641
5,256.08887928538,-0.74391112071462
13,258.28531133011,-0.74171468866989
7,258.394458796829,-0.741605541203171
11,275.397446099669,-0.724602553900331
9,277.674229163677,-0.722325770836324
6,278.560250811279,-0.721439749188721
13,278.904599929228,-0.721095400070772
9,279.156020563096,-0.720843979436904
6,279.712433926761,-0.720287566073239
3,281.422912562266,-0.718577087437734
6,281.738033983856,-0.718261966016144
10,282.335053896531,-0.717664946103469
8,284.256155928597,-0.715743844071403
12,285.358408465981,-0.714641591534019
8,286.42988265492,-0.71357011734508
3,289.654385298491,-0.710345614701509
4,290.34703602083,-0.70965296397917
6,292.732585594058,-0.707267414405942
6,296.98599409312,-0.70301400590688
5,297.800167324021,-0.702199832675979
8,303.719265758991,-0.696280734241009
3,304.712337721139,-0.695287662278861
10,304.903143364936,-0.695096856635064
11,305.174275301397,-0.694825724698603
5,305.969259003177,-0.694030740996823
6,309.140030713752,-0.690859969286248
10,309.45599284023,-0.690544007159769
7,310.867666266859,-0.689132333733141
3,311.303200852126,-0.688696799147874
6,315.046411706135,-0.684953588293865
10,316.356603335589,-0.683643396664411
9,317.71344570443,-0.68228655429557
8,318.353008385748,-0.681646991614252
9,320.016957819462,-0.679983042180538
5,320.284590311348,-0.679715409688652
8,321.028800215572,-0.678971199784428
5,321.21543167159,-0.67878456832841
12,324.224803969264,-0.675775196030736
12,327.413975633681,-0.672586024366319
4,328.214223589748,-0.671785776410252
9,329.189491551369,-0.670810508448631
11,330.39221460931,-0.66960778539069
6,332.530274242163,-0.667469725757837
7,333.211491210386,-0.666788508789614
6,335.183737939224,-0.664816262060776
9,336.524647148326,-0.663475352851674
6,339.670220343396,-0.660329779656604
8,340.320822410285,-0.659679177589715
7,340.566864795983,-0.659433135204017
18,341.184259438887,-0.658815740561113
6,345.645539136603,-0.654354460863397
10,346.257304493338,-0.653742695506662
8,348.281449032947,-0.651718550967053
8,349.510714644566,-0.650489285355434
3,350.476974574849,-0.649523025425151
8,350.653613964096,-0.649346386035904
7,356.982183875516,-0.643017816124484
7,357.019006414339,-0.642980993585661
7,357.345953444019,-0.642654046555981
10,357.739131338894,-0.642260868661106
9,361.171193793416,-0.638828806206584
2,362.591252056882,-0.637408747943118
8,365.521443029866,-0.634478556970134
6,367.350975703448,-0.632649024296552
6,367.398756323382,-0.632601243676618
5,372.552740387619,-0.627447259612381
5,372.613759804517,-0.627386240195483
11,373.395436815917,-0.626604563184083
4,375.101097952574,-0.624898902047425
10,376.654566358775,-0.623345433641225
7,376.78019348532,-0.62321980651468
5,376.967896148562,-0.623032103851438
8,378.020255826414,-0.621979744173586
5,378.271875111386,-0.621728124888614
5,383.478158479556,-0.616521841520444
12,386.12401811406,-0.61387598188594
4,390.957607701421,-0.609042392298579
5,395.050390856341,-0.604949609143659
3,397.174112405628,-0.602825887594372
6,399.238172406331,-0.600761827593669
6,400.295743532479,-0.599704256467521
6,400.389620848,-0.599610379152
4,402.547017531469,-0.597452982468531
7,405.217221565545,-0.594782778434455
9,409.109266940504,-0.590890733059496
6,412.65558982268,-0.58734441017732
5,413.318161247298,-0.586681838752702
8,413.349235896021,-0.586650764103979
7,413.800258142874,-0.586199741857126
10,414.637790061533,-0.585362209938467
7,415.213832585141,-0.584786167414859
10,417.685506213456,-0.582314493786544
8,418.783432850614,-0.581216567149386
9,418.897385243326,-0.581102614756674
6,422.204195242375,-0.577795804757625
8,422.359359776601,-0.577640640223399
6,425.956861302257,-0.574043138697743
8,427.11846861057,-0.57288153138943
7,428.723439201713,-0.571276560798287
6,428.729805676267,-0.571270194323733
10,429.500442463905,-0.570499557536095
5,434.233590448275,-0.565766409551725
7,434.374467190355,-0.565625532809645
11,437.956508295611,-0.562043491704389
2,440.896608354524,-0.559103391645476
2,440.917251305655,-0.559082748694345
6,443.97932481952,-0.55602067518048
3,446.481701359153,-0.553518298640847
7,449.22992750071,-0.55077007249929
7,449.505124660209,-0.550494875339791
4,450.9635460563,-0.5490364539437
11,451.395092112944,-0.548604907887057
12,451.743308221921,-0.548256691778079
9,453.997906064615,-0.546002093935385
5,455.099185043946,-0.544900814956054
4,455.903606768698,-0.544096393231303
7,456.187591096386,-0.543812408903614
3,457.425779663026,-0.542574220336974
8,458.244079304859,-0.541755920695141
8,458.910467848182,-0.541089532151818
4,459.354727994651,-0.540645272005349
2,461.22036697343,-0.53877963302657
6,461.524083139375,-0.538475916860625
3,467.412336589769,-0.532587663410231
3,468.483519088477,-0.531516480911523
7,469.081310974434,-0.530918689025566
7,469.280617963523,-0.530719382036477
7,470.810054196045,-0.529189945803955
6,471.394994948059,-0.528605005051941
8,472.457565041259,-0.527542434958741
3,472.835009684786,-0.527164990315214
