Location,Sample,Study_day,Stage,Gravimetric_moisture,DO,pH,EC,NH4 ,NO3 
control,con_15_sp1,0,Initial,0.395683453,98.2,7.72,43.57,0.006461084,0.006559712
grave,gr_15_sp1,0,Initial,0.414340102,96.7,7.51,18.45,0.007528061,0.006175952
control,con_15_sp2,0,Initial,0.48627727,96.7,7.18,19.7,0.009670711,0.008883975
grave,gr_15_sp2,0,Initial,0.366706161,98,7.38,43.46,0.008397043,0.008508201
control,con_15_sp3,0,Initial,0.422352177,98.4,7.21,30.65,0.010954008,0.00634938
grave,gr_15_sp3,0,Initial,0.436163714,97.1,7.17,57.04,0.010907185,0.00965868
control,con_15_sp1,8,Bloat,0.230295567,97.8,7.58,89.27,0.007388335,0.007837803
grave,gr_15_sp1,8,Bloat,0.186688312,92.7,7.07,134.4,0.037815801,0.01265168
control,con_15_sp2,8,Bloat,0.248687664,99.4,7.21,78.44,0.00861761,0.005424299
grave,gr_15_sp2,8,Bloat,0.284563758,10.75,6.24,133.2,0.026958711,0.00258283
control,con_15_sp3,8,Bloat,0.263728814,98.7,7.16,76.63,0.009826755,0.005661505
grave,gr_15_sp3,8,Bloat,0.281362007,75.7,6.55,127.4,0.028770848,0.006355556
control,con_15_sp1,12,Active,0.296703297,100,7.57,45.89,0.00776293,0.007306491
grave,gr_15_sp1,12,Active,0.333333333,38.8,6.5,185.1,0.195377778,0.002737778
control,con_15_sp2,12,Active,0.362637363,101,7.01,52.4,0.009211429,0.007452718
grave,gr_15_sp2,12,Active,0.128755365,29,6.59,620.5,0.279600229,0.004936423
control,con_15_sp3,12,Active,0.375757576,99.3,7.34,45.58,0.013005495,0.008555378
grave,gr_15_sp3,12,Active,0.368131868,48.9,5.99,407.7,0.597344615,0.001503121
control,con_15_sp1,16,Advanced,0.329078801,97.2,7.13,163.1,0.007301073,0.007903589
grave,gr_15_sp1,16,Advanced,0.382315522,53.2,5.9,706.3,1.03544648,0.001006326
control,con_15_sp2,16,Advanced,0.304245283,98.6,7.29,60.28,0.01111217,0.006935107
grave,gr_15_sp2,16,Advanced,0.325536062,38.6,5.84,699.4,0.675493177,0.001845146
control,con_15_sp3,16,Advanced,0.303376906,99.2,7.38,40.19,0.008619666,0.003513904
grave,gr_15_sp3,16,Advanced,0.357647059,50.2,5.88,300.5,0.284562824,0.000495994
control,con_15_sp1,27,Advanced2,0.34496124,97.8,7.16,39.75,0.008679483,0.007356041
grave,gr_15_sp1,27,Advanced2,0.401723209,69.6,5.88,389.9,0.878600108,0.012907067
control,con_15_sp2,27,Advanced2,0.362333169,98.1,7.06,43.81,0.009954114,0.005805356
grave,gr_15_sp2,27,Advanced2,0.286751361,37.4,5.92,467.4,0.083553055,0.001046558
control,con_15_sp3,27,Advanced2,0.336594912,98.3,7.17,43.6,0.010728402,0.005467564
grave,gr_15_sp3,27,Advanced2,0.288530466,62.9,5.62,384.2,0.141910155,0.001072057
control,con_15_sp1,43,Advanced3,0.246828753,99.4,7.23,79.48,0.010689479,0.00916336
grave,gr_15_sp1,43,Advanced3,0.280607248,64.5,5.68,696.2,0.577468495,0.009490153
control,con_15_sp2,43,Advanced3,0.297860669,99,7.07,64.71,0.012407548,0.006575827
grave,gr_15_sp2,43,Advanced3,0.242331288,75,5.98,465.5,0.109656442,0.009312515
control,con_15_sp3,43,Advanced3,0.264039855,98.8,7.1,56.27,0.00793817,0.00427414
grave,gr_15_sp3,43,Advanced3,0.344211823,80.25,5.52,437.5,0.2570133,0.001828128
control,con_15_sp1,58,Advanced4,0.376870748,95.4,7.33,56.01,0.002606875,0.011415176
grave,gr_15_sp1,58,Advanced4,0.410118407,63,6.25,602.3,0.710887693,0.006610635
control,con_15_sp2,58,Advanced4,0.43301105,97.3,7.3,30.78,0.000726059,0.007772652
grave,gr_15_sp2,58,Advanced4,0.457720588,71.6,6.41,331.3,0.086977328,0.000431485
control,con_15_sp3,58,Advanced4,0.38080869,97.8,7.31,29.72,0.008137566,0.005663157
grave,gr_15_sp3,58,Advanced4,0.418149466,87,6.43,258.7,0.050675208,0.003539701
control,con_15_sp1,72,Advanced5,0.265625,96.3,7.28,79.01,0.005484375,0.00650025
grave,gr_15_sp1,72,Advanced5,0.445508982,50.7,6.39,1044,0.884940599,0.009742731
control,con_15_sp2,72,Advanced5,0.355555556,96.5,7.4,47.18,0.00692237,0.003719644
grave,gr_15_sp2,72,Advanced5,0.333127699,84.4,7.26,393.7,0.26938067,0.010082
control,con_15_sp3,72,Advanced5,0.315453384,97.7,7.41,35.31,0.004665475,0.002132788
grave,gr_15_sp3,72,Advanced5,0.416986301,75,6.06,234.2,0.089459068,0.002662045
control,con_15_sp1,86,Advanced6,0.322365284,97.9,7.24,57.59,0.005303566,0.010977395
grave,gr_15_sp1,86,Advanced6,0.433776465,72,6.21,498.3,0.618244412,0.026771474
control,con_15_sp2,86,Advanced6,0.402738163,96.6,6.89,21.83,0.010369041,0.007436383
