fertilizer_g_m2,biomass_g
10.0,252.2
12.7,275.3
15.4,300.1
18.1,283.2
20.8,307.0
23.6,329.4
26.3,304.8
29.0,336.1
31.7,357.0
34.4,380.1
37.1,360.9
39.8,382.2
42.5,402.1
45.3,378.2
48.0,404.9
50.7,423.5
53.4,445.1
56.1,423.4
58.8,442.3
61.5,460.2
64.2,435.3
66.9,458.2
69.7,474.9
72.4,495.0
75.1,470.7
77.8,487.2
80.5,503.1
83.2,477.1
85.9,496.6
88.6,511.0
91.4,530.0
94.1,502.8
96.8,516.9
99.5,530.9
102.2,503.5
104.9,519.9
107.6,532.1
110.3,550.0
113.1,519.7
115.8,531.4
118.5,543.5
121.2,514.5
123.9,528.1
126.6,538.1
129.3,555.5
132.0,521.4
134.7,530.9
137.5,541.1
140.2,510.2
142.9,521.0
145.6,528.9
148.3,546.7
151.0,508.0
153.7,515.2
156.4,523.6
159.2,490.6
161.9,498.8
164.6,504.6
167.3,458.7
170.0,479.4
