Fertilizer,Variety,Yield
A,Midlawn,22.1
A,Midlawn,24.1
A,Midlawn,19.1
A,Midlawn,22.1
A,Midlawn,25.1
A,Midlawn,18.1
B,Midlawn,13.5
B,Midlawn,14.5
B,Midlawn,11.5
B,Midlawn,6
B,Midlawn,27
B,Midlawn,18
C,Midlawn,19
C,Midlawn,22
C,Midlawn,20
C,Midlawn,14.5
C,Midlawn,19
C,Midlawn,16
A,Mohawk,19.8
A,Mohawk,28.3
A,Mohawk,26.8
A,Mohawk,27.3
A,Mohawk,26.8
A,Mohawk,26.8
B,Mohawk,15.1
B,Mohawk,6.5
B,Mohawk,17.1
B,Mohawk,7.6
B,Mohawk,13.6
B,Mohawk,21.1
C,Mohawk,24.5
C,Mohawk,16
C,Mohawk,11
C,Mohawk,7.5
C,Mohawk,14.5
C,Mohawk,15.5
A,Patriot,22.3
A,Patriot,25.8
A,Patriot,22.8
A,Patriot,28.3
A,Patriot,21.3
A,Patriot,18.3
B,Patriot,15.7
B,Patriot,10.2
B,Patriot,16.7
B,Patriot,19.7
B,Patriot,18.2
B,Patriot,12.2
C,Patriot,16.4
C,Patriot,14.4
C,Patriot,21.4
C,Patriot,19.9
C,Patriot,10.4
C,Patriot,21.4
A,Riviera,27.1
A,Riviera,15.1
A,Riviera,20.6
A,Riviera,28.6
A,Riviera,15.1
A,Riviera,24.6
B,Riviera,16.9
B,Riviera,17.4
B,Riviera,10.4
B,Riviera,19.4
B,Riviera,11.9
B,Riviera,15.4
C,Riviera,20
C,Riviera,22
C,Riviera,25.5
C,Riviera,16.5
C,Riviera,18
C,Riviera,17.5
A,Yukon,20
A,Yukon,17
A,Yukon,24
A,Yukon,22.5
A,Yukon,28
A,Yukon,22.5
B,Yukon,21.8
B,Yukon,22.8
B,Yukon,18.8
B,Yukon,21.3
B,Yukon,16.3
B,Yukon,14.3
C,Yukon,11.8
C,Yukon,14.3
C,Yukon,21.3
C,Yukon,6.3
C,Yukon,7.8
C,Yukon,13.8
