"visits","sucrose_pct","feeder_height_cm","shade_pct","feeder_color","site"
0,6.4,83.3,85.4,"blue","meadow"
15,24.7,189.7,28.1,"blue","edge"
1,5.2,211.1,62.2,"red","edge"
8,16.3,133.5,71.3,"blue","edge"
7,16.9,142.8,61.9,"red","edge"
2,8.3,196,79.9,"yellow","forest"
10,20.8,138.6,5.2,"red","orchard"
2,7.5,83.7,56.8,"yellow","orchard"
4,15.5,168.6,19.4,"red","orchard"
8,22.6,132.8,39.7,"blue","orchard"
15,24.7,201,25.8,"yellow","meadow"
17,25,97.8,6.4,"yellow","meadow"
6,23.7,110.8,56.1,"blue","forest"
7,19.2,182.2,36.6,"blue","edge"
4,9.1,138.9,4.4,"red","meadow"
6,13,189.4,12.2,"red","edge"
1,5.6,150.1,57.4,"red","orchard"
7,12.6,197,35.8,"red","edge"
3,16.1,161.8,88.3,"blue","edge"
13,23.5,147.4,44.2,"blue","orchard"
0,6.5,101,51.3,"yellow","orchard"
3,12.8,129.8,0.7,"red","orchard"
2,9.1,104.9,51.2,"blue","orchard"
2,5.6,142.5,45.3,"yellow","meadow"
2,5.7,183.4,88,"red","meadow"
3,14.4,209.1,80.4,"yellow","forest"
4,13,138.3,33,"red","meadow"
22,16.1,193.7,8.4,"red","meadow"
0,9.1,118.5,5.8,"red","orchard"
4,7.9,95.8,11.8,"red","edge"
4,14,201.1,73.6,"yellow","forest"
4,21.9,169.3,81.6,"yellow","edge"
4,16.3,81.2,57.1,"blue","orchard"
5,8,179.6,29.2,"red","edge"
3,6.8,112.7,60.4,"red","orchard"
2,12.5,195.5,31.4,"yellow","forest"
6,20.9,179.1,44.4,"yellow","meadow"
1,17.1,98.4,4.3,"yellow","forest"
3,10.7,141.7,77.8,"yellow","meadow"
5,13.9,149.3,88,"red","edge"
7,23.7,196.9,63.6,"yellow","forest"
1,6.5,173.7,25.3,"yellow","meadow"
1,8.8,131.3,42.6,"red","edge"
8,20.2,164.6,43.4,"blue","forest"
16,24.1,182.5,75,"blue","meadow"
7,10.8,137,5.1,"blue","meadow"
10,22.5,157.2,72,"yellow","meadow"
2,7.2,105.5,39.2,"blue","meadow"
20,18.5,218.4,0.4,"yellow","orchard"
13,24,147.3,80.6,"red","meadow"
19,21,207.2,32,"red","orchard"
5,16.7,149,37,"blue","orchard"
6,18.5,185.9,66.2,"yellow","edge"
5,10.1,205,86.5,"red","orchard"
11,15.1,81.2,14.4,"red","meadow"
6,19.1,115.2,9.8,"blue","orchard"
3,12.3,108.1,23.3,"red","edge"
7,23.8,184.9,69.1,"yellow","edge"
4,19.3,150.5,64,"yellow","meadow"
12,24.6,94.6,51.9,"red","orchard"
2,6,208.5,7,"blue","forest"
9,23.1,199.9,54.2,"blue","meadow"
6,18.1,196.3,19.3,"blue","forest"
17,21.4,198.7,16.9,"red","edge"
3,9.7,138.4,18,"yellow","forest"
8,17.5,88.7,36.3,"red","edge"
3,6.8,187.9,18,"blue","orchard"
7,11.4,136.7,40.6,"yellow","orchard"
13,24,86.8,45.4,"yellow","edge"
5,22.4,93.2,43.7,"red","forest"
7,21.6,85.9,1,"blue","meadow"
8,20.5,194.3,59.1,"yellow","meadow"
2,14.1,191.2,51.4,"yellow","edge"
8,10.9,210.7,30.3,"red","edge"
5,12.9,148.5,59.2,"yellow","meadow"
5,17.4,130.7,30.7,"yellow","edge"
1,9.9,114.2,29.7,"yellow","orchard"
12,24.9,168.8,14.9,"blue","forest"
4,12.4,202.3,64.5,"red","orchard"
4,11.3,213.3,2.1,"blue","orchard"
3,12.2,150.8,89.1,"red","meadow"
5,13,152.6,39.6,"yellow","meadow"
4,13.8,154.5,15.5,"yellow","meadow"
20,21.8,172.8,18.9,"yellow","meadow"
1,8.1,85.5,73.2,"blue","edge"
0,5.8,90.4,82.9,"yellow","forest"
9,17.9,156.8,31.7,"red","edge"
5,9.6,104,34.4,"red","meadow"
3,10.9,204.4,76.7,"blue","meadow"
1,10.6,147.3,29.5,"blue","edge"
5,15.8,177.7,76.4,"yellow","orchard"
27,22.6,157.8,8.3,"red","meadow"
1,15.8,167.8,8.7,"blue","forest"
9,12.4,124.4,14.3,"red","meadow"
1,7.5,90,3.1,"yellow","orchard"
4,15.8,188.4,54.9,"yellow","orchard"
2,12.2,125.8,59.3,"blue","edge"
7,18.9,88.2,34.3,"yellow","edge"
7,15.9,124.1,79.2,"red","meadow"
3,9.1,147.6,20.9,"red","meadow"
2,10.2,180.3,80,"yellow","forest"
2,14,215.7,50.4,"blue","orchard"
2,9.6,213.5,20,"blue","orchard"
3,18.7,97.8,58.8,"blue","orchard"
5,20.1,144.2,16.1,"blue","edge"
9,17.2,205.8,39.3,"red","meadow"
3,10.4,158.7,7.5,"blue","meadow"
0,6.2,147.3,39.3,"yellow","orchard"
0,7,206.1,54.8,"yellow","edge"
4,18.5,109.1,84.6,"red","edge"
5,14.9,80.8,44.3,"red","edge"
4,12.9,151.5,39.8,"yellow","edge"
17,24.3,169.5,8.7,"blue","orchard"
2,8.2,156,23.2,"yellow","meadow"
1,8.8,191.5,8,"blue","forest"
6,15.6,104.2,35.2,"red","orchard"
10,23.1,200,25.5,"blue","forest"
9,22.6,159.1,68.3,"red","edge"
5,20.5,119,88.8,"yellow","forest"
3,13.3,129,71.5,"blue","edge"
4,15.1,181.6,82.8,"red","orchard"
5,16.1,107.4,60.5,"red","edge"
2,9.1,147.5,44.2,"yellow","meadow"
3,14.5,152,85.7,"blue","orchard"
5,16,151.3,71.1,"blue","forest"
3,11.3,163.4,80.6,"yellow","meadow"
6,17.5,124.7,69.6,"yellow","orchard"
4,12.7,92.9,59.4,"yellow","meadow"
11,22.9,133.5,42.1,"yellow","forest"
2,9.2,97.5,3.5,"yellow","orchard"
19,24.3,172.9,16.3,"blue","meadow"
10,17.5,172.5,20.7,"red","orchard"
11,18.9,202.3,65.5,"yellow","edge"
20,21.7,81.7,16.8,"red","orchard"
3,17.4,147,58.6,"blue","edge"
2,7.9,113.3,43.7,"blue","edge"
5,10,100.7,39.1,"red","orchard"
2,10.4,193,67.9,"blue","orchard"
4,17.5,97.5,24.4,"blue","edge"
1,11.6,101.8,47.2,"blue","meadow"
4,13.8,105.2,82.8,"red","edge"
6,12.2,94.8,31.1,"red","edge"
0,7.2,96.3,59.7,"yellow","meadow"
3,11.1,163.4,11.2,"red","forest"
0,10.8,161.4,87.8,"blue","orchard"
6,18.6,137.2,71.4,"yellow","orchard"
10,24,88.8,73.5,"yellow","orchard"
13,21.5,112.6,84,"yellow","meadow"
8,19.7,86.4,1.8,"red","orchard"
17,24.8,100,19,"red","orchard"
5,23.8,147,26.6,"blue","orchard"
9,21.7,102.5,79.9,"red","forest"
2,7.7,149.6,10.3,"yellow","edge"
11,22.2,115.4,3.5,"red","meadow"
13,21,133.4,62,"red","edge"
4,9.4,215.6,4,"yellow","orchard"
7,16.4,164.6,70.6,"red","meadow"
8,12,197.3,64.7,"red","meadow"
0,5.8,208.4,86.3,"red","edge"
0,5.2,161.6,74.4,"blue","meadow"
3,6.5,165.2,43.5,"yellow","orchard"
4,16,96,3.7,"yellow","meadow"
6,15.8,157,58.6,"red","meadow"
2,10.7,93,16.3,"yellow","meadow"
2,9.5,211.9,62.5,"yellow","orchard"
2,17,165.4,40.2,"red","orchard"
4,10.4,149.2,42.1,"red","forest"
12,24.6,104.4,73.1,"yellow","forest"
17,24,102.8,33.7,"yellow","meadow"
5,18.3,178.1,65.4,"red","forest"
6,19.3,85.6,16.4,"red","forest"
4,7,207,42.1,"red","forest"
2,7.9,131.4,51,"red","meadow"
1,13.8,128.5,88.5,"yellow","forest"
5,17.7,98,57.1,"blue","meadow"
10,16.8,204.6,15.8,"yellow","meadow"
1,6.1,191.4,32,"blue","orchard"
16,23.1,165.8,36.9,"blue","meadow"
25,22.8,117.9,5,"red","meadow"
3,12.3,191.6,54.2,"blue","forest"
