canopy_cover_pct,oak_seedlings
5.0,0
6.3,1
7.5,2
8.8,0
10.1,1
11.3,2
12.6,3
13.9,0
15.1,1
16.4,2
17.7,4
18.9,1
20.2,1
21.5,3
22.7,0
24.0,1
25.3,2
26.5,3
27.8,0
29.1,2
30.4,3
31.6,5
32.9,1
34.2,3
35.4,4
36.7,7
38.0,2
39.2,4
40.5,5
41.8,1
43.0,3
44.3,5
45.6,7
46.8,2
48.1,4
49.4,6
50.6,9
51.9,3
53.2,5
54.4,7
55.7,11
57.0,5
58.2,6
59.5,8
60.8,3
62.0,5
63.3,7
64.6,9
65.8,3
67.1,5
68.4,7
69.6,9
70.9,3
72.2,5
73.5,6
74.7,10
76.0,3
77.3,4
78.5,5
79.8,1
81.1,2
82.3,3
83.6,4
84.9,1
86.1,1
87.4,2
88.7,3
89.9,0
91.2,1
92.5,1
93.7,0
95.0,0
