"site","mass"
"Tlaloc",440.235433677225
"Tlaloc",460.042858707804
"Tlaloc",457.97373672918
"Tlaloc",437.780824567063
"Tlaloc",457.366901332326
"Tlaloc",478.093575546539
"Tlaloc",447.81569398379
"Tlaloc",461.416608645741
"Tlaloc",456.339778054033
"Tlaloc",448.800572575762
"Tlaloc",443.764173366669
"Tlaloc",455.756274911144
"Tlaloc",449.986392783654
"Tlaloc",441.035666523337
"Tlaloc",426.566060332886
"Tlaloc",441.947486138792
"Tlaloc",441.798342940665
"Tlaloc",462.752200634948
"Tlaloc",437.032516779626
"Tlaloc",447.382705720143
"Tlaloc",469.902186200143
"Tlaloc",448.465345404601
"Tlaloc",457.034497295976
"Tlaloc",453.512130134162
"Popocatepetl",462.174927560094
"Popocatepetl",463.459176408893
"Popocatepetl",446.778054201125
"Popocatepetl",446.447122034881
"Popocatepetl",453.978182309494
"Popocatepetl",450.901086299664
"Popocatepetl",443.531274247665
"Popocatepetl",466.843737082182
"Popocatepetl",450.990225550048
"Popocatepetl",447.814303074963
"Popocatepetl",432.909554739518
"Popocatepetl",438.090538098108
"Popocatepetl",452.67183504329
"Popocatepetl",448.641778895695
"Popocatepetl",435.870301057996
"Popocatepetl",451.088983134226
"Popocatepetl",452.721063304609
"Popocatepetl",445.551454126229
"Popocatepetl",434.064274290997
"Popocatepetl",440.203135119781
"Popocatepetl",444.32316830042
"Popocatepetl",467.15668710157
"Popocatepetl",441.958120163056
"Popocatepetl",462.094704457256
"Popocatepetl",447.658482270308
"Popocatepetl",449.615862948697
"Popocatepetl",446.20928832693
"Popocatepetl",443.940336211978
"Popocatepetl",454.358396688712
"Popocatepetl",443.66302347376
